"filename", "language", "Python", "Database", "comment", "blank", "total"
"c:\Users\iamno\Python\NEA\NEA\DatabaseDefinition.py", "Python", 173, 0, 44, 33, 250
"c:\Users\iamno\Python\NEA\NEA\Databases\LibraryData.db", "Database", 0, 90, 0, 0, 90
"c:\Users\iamno\Python\NEA\NEA\Databases\SystemConfig.db", "Database", 0, 30, 0, 0, 30
"c:\Users\iamno\Python\NEA\NEA\Frames\CatalogueFrame.py", "Python", 695, 0, 42, 113, 850
"c:\Users\iamno\Python\NEA\NEA\Frames\DashboardFrame.py", "Python", 67, 0, 8, 13, 88
"c:\Users\iamno\Python\NEA\NEA\Frames\LoansFrame.py", "Python", 330, 0, 33, 55, 418
"c:\Users\iamno\Python\NEA\NEA\Frames\LoginFrame.py", "Python", 30, 0, 7, 9, 46
"c:\Users\iamno\Python\NEA\NEA\Frames\ReservationsFrame.py", "Python", 353, 0, 29, 52, 434
"c:\Users\iamno\Python\NEA\NEA\Frames\StaffFrame.py", "Python", 275, 0, 31, 33, 339
"c:\Users\iamno\Python\NEA\NEA\Frames\StudentsFrame.py", "Python", 349, 0, 35, 50, 434
"c:\Users\iamno\Python\NEA\NEA\Main.py", "Python", 32, 0, 0, 7, 39
"c:\Users\iamno\Python\NEA\NEA\Managers\AccountManager.py", "Python", 675, 0, 206, 45, 926
"c:\Users\iamno\Python\NEA\NEA\Managers\LibraryManager.py", "Python", 1254, 0, 331, 68, 1653
"Total", "-", 4233, 120, 766, 478, 5597